name,url,country,region,coordinates,caption,longitude,latitude
Punic Town of Kerkuane and its Necropolis,http://whc.unesco.org/en/list/332,Tunisia,Gouvernorat de Nabeul,N36 56 47.004 E11 5 57.012,This Phoenician city was probably abandoned during the First Punic War (c. 250 B.C.) and as a result was not rebuilt by the Romans. The remains constitute the only example of a Phoenicio-Punic city to have survived. The houses were built to a standard plan in accordance with a sophisticated notion of town planning.,11.09917,36.94639
Huascarán National Park,http://whc.unesco.org/en/list/333,Peru,"Department Ancash, Provincia: recuay, Carhuas, Huaráz, Yungay, Pomabamba, Mariscal Luzuriaga, Huari, Corongo, Sihuas y Bolognesi",S9 19 59.988 W77 24 0,"Situated in the Cordillera Blanca, the world's highest tropical mountain range, Mount Huascarán rises to 6,768 m above sea-level. The deep ravines watered by numerous torrents, the glacial lakes and the variety of the vegetation make it a site of spectacular beauty. It is the home of such species as the spectacled bear and the Andean condor.",-76.6,-8.66667
Sanctuary of Bom Jesus do Congonhas,http://whc.unesco.org/en/list/334,Brazil,"State of Minas Gerais, City of Congonhas",S20 29 59 W43 51 28,"This sanctuary in Minais Gerais, south of Belo Horizonte was built in the second half of the 18th century. It consists of a church with a magnificent Rococo interior of Italian inspiration; an outdoor stairway decorated with statues of the prophets; and seven chapels illustrating the Stations of the Cross, in which the polychrome sculptures by Aleijadinho are masterpieces of a highly original, moving, expressive form of Baroque art.",-42.14222222222222,-19.50027777777778
Nanda Devi and Valley of Flowers National Parks  ,http://whc.unesco.org/en/list/335,India,State of Uttaranchal,N30 43 0.012 E79 40 0.012,"Nestled high in West Himalaya, India’s Valley of Flowers National Park is renowned for its meadows of endemic alpine flowers and outstanding natural beauty. This richly diverse area is also home to rare and endangered animals, including the Asiatic black bear, snow leopard, brown bear and blue sheep. The gentle landscape of the Valley of Flowers National Park complements the rugged mountain wilderness of Nanda Devi National Park. Together they encompass a unique transition zone between the mountain ranges of the Zanskar and Great Himalaya, praised by mountaineers and botanists for over a century and in Hindu mythology for much longer.",79.66667,30.71667
Kaziranga National Park,http://whc.unesco.org/en/list/337,India,State of Assam,N26 40 0 E93 25 0,"In the heart of Assam, this park is one of the last areas in eastern India undisturbed by a human presence. It is inhabited by the world's largest population of one-horned rhinoceroses, as well as many mammals, including tigers, elephants, panthers and bears, and thousands of birds.",93.41666666666667,26.666666666666668
Keoladeo National Park,http://whc.unesco.org/en/list/340,India,"State of Rajasthan, 50 km west of Agra",N27 9 32 E77 30 31,"This former duck-hunting reserve of the Maharajas is one of the major wintering areas for large numbers of aquatic birds from Afghanistan, Turkmenistan, China and Siberia. Some 364 species of birds, including the rare Siberian crane, have been recorded in the park.",77.50861111111111,27.15888888888889
Manas Wildlife Sanctuary,http://whc.unesco.org/en/list/338,India,State of Assam,N26 43 30 E91 1 50,"On a gentle slope in the foothills of the Himalayas, where wooded hills give way to alluvial grasslands and tropical forests, the Manas sanctuary is home to a great variety of wildlife, including many endangered species, such as the tiger, pygmy hog, Indian rhinoceros and Indian elephant.",91.03055555555555,26.725
Historic Fortified City of Carcassonne,http://whc.unesco.org/en/list/345,France,"Department of Aude, Languedoc-Roussillon Region",N43 12 38 E2 21 32,"Since the pre-Roman period, a fortified settlement has existed on the hill where Carcassonne now stands. In its present form it is an outstanding example of a medieval fortified town, with its massive defences encircling the castle and the surrounding buildings, its streets and its fine Gothic cathedral. Carcassonne is also of exceptional importance because of the lengthy restoration campaign undertaken by Viollet-le-Duc, one of the founders of the modern science of conservation.",2.358888888888889,43.21055555555556
Santiago de Compostela (Old Town),http://whc.unesco.org/en/list/347,Spain,"Province of A Coruña, Autonomous Community of Galicia",N42 52 50.736 W8 32 40.848,"This famous pilgrimage site in north-west Spain became a symbol in the Spanish Christians' struggle against Islam. Destroyed by the Muslims at the end of the 10th century, it was completely rebuilt in the following century. With its Romanesque, Gothic and Baroque buildings, the Old Town of Santiago is one of the world's most beautiful urban areas. The oldest monuments are grouped around the tomb of St James and the cathedral, which contains the remarkable Pórtico de la Gloria.",-7.45532,42.88076
Old Town of Ávila with its Extra-Muros Churches,http://whc.unesco.org/en/list/348,Spain,"Province of Ávila, Autonomous Community of Castile-Leon",N40 39 23.22 W4 42 0.432,"Founded in the 11th century to protect the Spanish territories from the Moors, this 'City of Saints and Stones', the birthplace of St Teresa and the burial place of the Grand Inquisitor Torquemada, has kept its medieval austerity. This purity of form can still be seen in the Gothic cathedral and the fortifications which, with their 82 semicircular towers and nine gates, are the most complete in Spain.",-3.29988,40.65645
Painted Churches in the Troodos Region,http://whc.unesco.org/en/list/351,Cyprus,"Troodos Region, Districts of Nicosia and Limassol",N34 55 13 E33 5 45,"This region is characterized by one of the largest groups of churches and monasteries of the former Byzantine Empire. The complex of 10 monuments included on the World Heritage List, all richly decorated with murals, provides an overview of Byzantine and post-Byzantine painting in Cyprus. They range from small churches whose rural architectural style is in stark contrast to their highly refined decoration, to monasteries such as that of St John Lampadistis.",33.09583333333333,34.92027777777778
Rock Art of Alta,http://whc.unesco.org/en/list/352,Norway,"Alta municipality, county of Finnmark",N69 57 0 E23 10 59.988,"This group of petroglyphs in the Alta Fjord, near the Arctic Circle, bears the traces of a settlement dating from c. 4200 to 500 B.C. The thousands of paintings and engravings add to our understanding of the environment and human activities on the fringes of the Far North in prehistoric times.",23.18333,69.95
Chaco Culture,http://whc.unesco.org/en/list/353,United States of America,New Mexico,N36 3 49.6 W107 58 15,"For over 2,000 years, Pueblo peoples occupied a vast region of the south-western United States. Chaco Canyon, a major centre of ancestral Pueblo culture between 850 and 1250, was a focus for ceremonials, trade and political activity for the prehistoric Four Corners area. Chaco is remarkable for its monumental public and ceremonial buildings and its distinctive architecture – it has an ancient urban ceremonial centre that is unlike anything constructed before or since. In addition to the Chaco Culture National Historical Park, the World Heritage property includes the Aztec Ruins National Monument and several smaller Chaco sites managed by the Bureau of Land Management.",-106.02916666666667,36.06377777777778
Historic Areas of Istanbul,http://whc.unesco.org/en/list/356,Turkey,City and Province of Istanbul,N41 0 30.492 E28 58 47.748,"With its strategic location on the Bosphorus peninsula between the Balkans and Anatolia, the Black Sea and the Mediterranean, Istanbul has been associated with major political, religious and artistic events for more than 2,000 years. Its masterpieces include the ancient Hippodrome of Constantine, the 6th-century Hagia Sophia and the 16th-century Süleymaniye Mosque, all now under threat from population pressure, industrial pollution and uncontrolled urbanization.",28.97993,41.00847
Göreme National Park and the Rock Sites of Cappadocia,http://whc.unesco.org/en/list/357,Turkey,Nevşehir Province (Cappadocia) in Central Anatolia,N38 40 0.012 E34 51 0,"In a spectacular landscape, entirely sculpted by erosion, the Göreme valley and its surroundings contain rock-hewn sanctuaries that provide unique evidence of Byzantine art in the post-Iconoclastic period. Dwellings, troglodyte villages and underground towns – the remains of a traditional human habitat dating back to the 4th century – can also be seen there.",34.85,38.66667
Iguaçu National Park,http://whc.unesco.org/en/list/355,Brazil,Paraná State,S25 40 59.988 W54 25 59.988,"The park shares with Iguazú National Park in Argentina one of the world’s largest and most impressive waterfalls, extending over some 2,700 m. It is home to many rare and endangered species of flora and fauna, among them the giant otter and the giant anteater. The clouds of spray produced by the waterfall are conducive to the growth of lush vegetation.",-53.56667,-24.31667
Great Mosque and Hospital of Divriği,http://whc.unesco.org/en/list/358,Turkey,"City and District of Divriği, Province of Sivas (Eastern Anatolia)",N39 22 24.996 E38 7 24.996,"This region of Anatolia was conquered by the Turks at the beginning of the 11th century. In 1228–29 Emir Ahmet Shah founded a mosque, with its adjoining hospital, at Divrigi. The mosque has a single prayer room and is crowned by two cupolas. The highly sophisticated technique of vault construction, and a creative, exuberant type of decorative sculpture – particularly on the three doorways, in contrast to the unadorned walls of the interior – are the unique features of this masterpiece of Islamic architecture.",38.12361,39.37361
Thracian Tomb of Sveshtari,http://whc.unesco.org/en/list/359,Bulgaria,Razgrad Province,N43 40 0.012 E26 40 0.012,"Discovered in 1982 near the village of Sveshtari, this 3rd-century BC Thracian tomb reflects the fundamental structural principles of Thracian cult buildings. The tomb has a unique architectural decor, with polychrome half-human, half-plant caryatids and painted murals. The 10 female figures carved in high relief on the walls of the central chamber and the decoration of the lunette in its vault are the only examples of this type found so far in the Thracian lands. It is a remarkable reminder of the culture of the Getes, a Thracian people who were in contact with the Hellenistic and Hyperborean worlds, according to ancient geographers.",26.66667,43.66667
Historic Centre of Évora,http://whc.unesco.org/en/list/361,Portugal,"Province: Alentejo,  District: Evora",N38 34 23.016 W7 54 28.008,"This museum-city, whose roots go back to Roman times, reached its golden age in the 15th century, when it became the residence of the Portuguese kings. Its unique quality stems from the whitewashed houses decorated with ",-6.09222,38.57306
Khami Ruins National Monument,http://whc.unesco.org/en/list/365,Zimbabwe,"Western Region, Matabeleland",S20 9 30 E28 22 36,"Khami, which developed after the capital of Great Zimbabwe had been abandoned in the mid-16th century, is of great archaeological interest. The discovery of objects from Europe and China shows that Khami was a major centre for trade over a long period of time.",28.376666666666665,-19.841666666666665
Chan Chan Archaeological Zone,http://whc.unesco.org/en/list/366,Peru,District of Huanchaco,S8 5 60 W79 4 59.988,"The Chimu Kingdom, with Chan Chan as its capital, reached its apogee in the 15th century, not long before falling to the Incas. The planning of this huge city, the largest in pre-Columbian America, reflects a strict political and social strategy, marked by the city's division into nine 'citadels' or 'palaces' forming autonomous units.",-78.91667,-7.9
"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier",http://whc.unesco.org/en/list/367,Germany,State of Rhineland-Palatinate (Rheinland-Pfalz),N49 45 0 E6 37 60,"Trier, which stands on the Moselle River, was a Roman colony from the 1st century AD and then a great trading centre beginning in the next century. It became one of the capitals of the Tetrarchy at the end of the 3rd century, when it was known as the ‘second Rome’. The number and quality of the surviving monuments are an outstanding testimony to Roman civilization.",6.633333333333334,49.75
Giant's Causeway and Causeway Coast,http://whc.unesco.org/en/list/369,United Kingdom of Great Britain and Northern Ireland,"County Antrim, Northern Ireland",N55 15 0 W6 29 7,"The Giant's Causeway lies at the foot of the basalt cliffs along the sea coast on the edge of the Antrim plateau in Northern Ireland. It is made up of some 40,000 massive black basalt columns sticking out of the sea. The dramatic sight has inspired legends of giants striding over the sea to Scotland. Geological studies of these formations over the last 300 years have greatly contributed to the development of the earth sciences, and show that this striking landscape was caused by volcanic activity during the Tertiary, some 50–60 million years ago.",-5.514722222222222,55.25
Gondwana Rainforests of Australia,http://whc.unesco.org/en/list/368,Australia,States of New South Wales and Queensland,S28 15 0 E150 3 0,"This site, comprising several protected areas, is situated predominantly along the Great Escarpment on Australia’s east coast. The outstanding geological features displayed around shield volcanic craters and the high number of rare and threatened rainforest species are of international significance for science and conservation.",150.05,-27.75
Ironbridge Gorge,http://whc.unesco.org/en/list/371,United Kingdom of Great Britain and Northern Ireland,"Shropshire, England",N52 37 35 W2 28 22,"Ironbridge is known throughout the world as the symbol of the Industrial Revolution. It contains all the elements of progress that contributed to the rapid development of this industrial region in the 18th century, from the mines themselves to the railway lines. Nearby, the blast furnace of Coalbrookdale, built in 1708, is a reminder of the discovery of coke. The bridge at Ironbridge, the world's first bridge constructed of iron, had a considerable influence on developments in the fields of technology and architecture.",-1.5272222222222223,52.62638888888889
Durham Castle and Cathedral,http://whc.unesco.org/en/list/370,United Kingdom of Great Britain and Northern Ireland,"County of Durham, England",N54 46 29 W1 34 34,"Durham Cathedral was built in the late 11th and early 12th centuries to house the relics of St Cuthbert (evangelizer of Northumbria) and the Venerable Bede. It attests to the importance of the early Benedictine monastic community and is the largest and finest example of Norman architecture in England. The innovative audacity of its vaulting foreshadowed Gothic architecture. Behind the cathedral stands the castle, an ancient Norman fortress which was the residence of the prince-bishops of Durham.",-0.42388888888888887,54.77472222222222
Studley Royal Park including the Ruins of Fountains Abbey,http://whc.unesco.org/en/list/372,United Kingdom of Great Britain and Northern Ireland,"North Yorkshire, England",N54 6 58 W1 34 23,"A striking landscape was created around the ruins of the Cistercian Fountains Abbey and Fountains Hall Castle, in Yorkshire. The 18th-century landscaping, gardens and canal, the 19th-century plantations and vistas, and the neo-Gothic castle of Studley Royal Park, make this an outstanding site.",-0.42694444444444446,54.11611111111111
"Stonehenge, Avebury and Associated Sites",http://whc.unesco.org/en/list/373,United Kingdom of Great Britain and Northern Ireland,"Wiltshire, England",N51 10 44 W1 49 31,"Stonehenge and Avebury, in Wiltshire, are among the most famous groups of megaliths in the world. The two sanctuaries consist of circles of menhirs arranged in a pattern whose astronomical significance is still being explored. These holy places and the nearby Neolithic sites are an incomparable testimony to prehistoric times.",-0.17472222222222222,51.17888888888889
Castles and Town Walls of King Edward in Gwynedd,http://whc.unesco.org/en/list/374,United Kingdom of Great Britain and Northern Ireland,"Gwynedd, North Wales",N53 8 23 W4 16 37,"The castles of Beaumaris and Harlech (largely the work of the greatest military engineer of the time, James of St George) and the fortified complexes of Caernarfon and Conwy are located in the former principality of Gwynedd, in north Wales. These extremely well-preserved monuments are examples of the colonization and defence works carried out throughout the reign of Edward I (1272–1307) and the military architecture of the time.",-3.723055555555556,53.139722222222225
Garajonay National Park,http://whc.unesco.org/en/list/380,Spain,"Island of La Gomera, Province of Santa Cruz de Tenerife, Canary Islands",N28 7 34.5 W17 14 14,"Laurel forest covers some 70% of this park, situated in the middle of the island of La Gomera in the Canary Islands archipelago. The presence of springs and numerous streams assures a lush vegetation resembling that of the Tertiary, which, due to climatic changes, has largely disappeared from southern Europe.",-16.762777777777778,28.12625
Historic City of Toledo,http://whc.unesco.org/en/list/379,Spain,"Province of Toledo, Autonomous Community of Castile-La Mancha",N39 52 0.8 W4 1 45.9,"Successively a Roman municipium, the capital of the Visigothic Kingdom, a fortress of the Emirate of Cordoba, an outpost of the Christian kingdoms fighting the Moors and, in the 16th century, the temporary seat of supreme power under Charles V, Toledo is the repository of more than 2,000 years of history. Its masterpieces are the product of heterogeneous civilizations in an environment where the existence of three major religions – Judaism, Christianity and Islam – was a major factor.",-3.9705833333333334,39.86688888888889
Mudejar Architecture of Aragon,http://whc.unesco.org/en/list/378,Spain,"Provinces of Teruel and Zaragoza, Autonomous Community of Aragon",N40 20 38.004 W1 6 25.992,"The development in the 12th century of Mudejar art in Aragon resulted from the particular political, social and cultural conditions that prevailed in Spain after the Reconquista. This art, influenced by Islamic tradition, also reflects various contemporary European styles, particularly the Gothic. Present until the early 17th century, it is characterized by an extremely refined and inventive use of brick and glazed tiles in architecture, especially in the belfries.",-0.89278,40.34389
Hattusha: the Hittite Capital,http://whc.unesco.org/en/list/377,Turkey,"District of Sungurlu, Çorum Province",N40 0 50.004 E34 37 14.016,"The archaeological site of Hattusha, former capital of the Hittite Empire, is notable for its urban organization, the types of construction that have been preserved (temples, royal residences, fortifications), the rich ornamentation of the Lions' Gate and the Royal Gate, and the ensemble of rock art at Yazilikaya. The city enjoyed considerable influence in Anatolia and northern Syria in the 2nd millennium B.C.",34.62056,40.01389
Old Town of Cáceres,http://whc.unesco.org/en/list/384,Spain,"Province of Cáceres, Autonomous Community of Extremadura",N39 28 27.984 W6 22 12,"The city's history of battles between Moors and Christians is reflected in its architecture, which is a blend of Roman, Islamic, Northern Gothic and Italian Renaissance styles. Of the 30 or so towers from the Muslim period, the Torre del Bujaco is the most famous.",-5.63,39.47444
Old City of Salamanca,http://whc.unesco.org/en/list/381,Spain,"Province of Salamanca, Autonomous Community of Castile-Leon",N40 57 54.9 W5 39 52.2,"This ancient university town north-west of Madrid was first conquered by the Carthaginians in the 3rd century B.C. It then became a Roman settlement before being ruled by the Moors until the 11th century. The university, one of the oldest in Europe, reached its high point during Salamanca's golden age. The city's historic centre has important Romanesque, Gothic, Moorish, Renaissance and Baroque monuments. The Plaza Mayor, with its galleries and arcades, is particularly impressive.",-4.3355,40.96525
Studenica Monastery,http://whc.unesco.org/en/list/389,Serbia,"Village of Studenica, Commune of Kraljevo, Raška District, Republic of Serbia",N43 29 9.996 E20 32 12.012,"The Studenica Monastery was established in the late 12th century by Stevan Nemanja, founder of the medieval Serb state, shortly after his abdication. It is the largest and richest of Serbia’s Orthodox monasteries. Its two principal monuments, the Church of the Virgin and the Church of the King, both built of white marble, enshrine priceless collections of 13th- and 14th-century Byzantine painting.",20.53667,43.48611
Škocjan Caves,http://whc.unesco.org/en/list/390,Slovenia,"Villages of Škocjan pri Divaci, Matavun and Betanja, Communes of Divaca and Sežana, Region of Obalno-kraška",N45 40 0.012 E14 0 0,"This exceptional system of limestone caves comprises collapsed dolines, some 6 km of underground passages with a total depth of more than 200 m, many waterfalls and one of the largest known underground chambers. The site, located in the Kras region (literally meaning Karst), is one of the most famous in the world for the study of karstic phenomena.",14.0,45.66667
"Cathedral, Alcázar and Archivo de Indias in Seville",http://whc.unesco.org/en/list/383,Spain,"Province of Seville, Autonomous Community of Andalusia",N37 23 1.824 W5 59 29.58,"Together these three buildings form a remarkable monumental complex in the heart of Seville. The cathedral and the Alcázar – dating from the Reconquest of 1248 to the 16th century and imbued with Moorish influences – are an exceptional testimony to the civilization of the Almohads as well as that of Christian Andalusia. The Giralda minaret is the masterpiece of Almohad architecture. It stands next to the cathedral with its five naves; the largest Gothic building in Europe, it houses the tomb of Christopher Columbus. The ancient Lonja, which became the Archivo de Indias, contains valuable documents from the archives of the colonies in the Americas.",-4.00845,37.38384
Temple of Apollo Epicurius at Bassae,http://whc.unesco.org/en/list/392,Greece,"Prefectures of Messenia, Arcadia, and Ilia in the  Western Peloponnese",N37 26 5.928 E21 53 48.984,"This famous temple to the god of healing and the sun was built towards the middle of the 5th century B.C. in the lonely heights of the Arcadian mountains. The temple, which has the oldest Corinthian capital yet found, combines the Archaic style and the serenity of the Doric style with some daring architectural features.",21.89694,37.43498
Old City of Sana'a,http://whc.unesco.org/en/list/385,Yemen,Governorate of the capital Sana’a,N15 21 20 E44 12 29,"Situated in a mountain valley at an altitude of 2,200 m, Sana’a has been inhabited for more than 2,500 years. In the 7th and 8th centuries the city became a major centre for the propagation of Islam. This religious and political heritage can be seen in the 103 mosques, 14 ",44.20805555555555,15.355555555555556
Archaeological Site of Delphi,http://whc.unesco.org/en/list/393,Greece,"Prefecture of Phokis, Region of Central Greece",N38 28 53.364 E22 29 46.212,"The pan-Hellenic sanctuary of Delphi, where the oracle of Apollo spoke, was the site of the omphalos, the 'navel of the world'. Blending harmoniously with the superb landscape and charged with sacred meaning, Delphi in the 6th century B.C. was indeed the religious centre and symbol of unity of the ancient Greek world.",22.49617,38.48149
Venice and its Lagoon,http://whc.unesco.org/en/list/394,Italy,"Province of Venezia, Veneto Region",N45 26 3.5 E12 20 20.2,"Founded in the 5th century and spread over 118 small islands, Venice became a major maritime power in the 10th century. The whole city is an extraordinary architectural masterpiece in which even the smallest building contains works by some of the world's greatest artists such as Giorgione, Titian, Tintoretto, Veronese and others.",12.338944444444444,45.434305555555554
Castel del Monte,http://whc.unesco.org/en/list/398,Italy,"Communes of Andria and Corato, Province of Bari, Puglia Region",N41 5 5.3 E16 16 15.4,"When the Emperor Frederick II built this castle near Bari in the 13th century, he imbued it with symbolic significance, as reflected in the location, the mathematical and astronomical precision of the layout and the perfectly regular shape. A unique piece of medieval military architecture, Castel del Monte is a successful blend of elements from classical antiquity, the Islamic Orient and north European Cistercian Gothic.",16.270944444444446,41.084805555555555
"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue",http://whc.unesco.org/en/list/400,Hungary,Budapest,N47 28 56.712 E19 4 14.412,"This site has the remains of monuments such as the Roman city of Aquincum and the Gothic castle of Buda, which have had a considerable influence on the architecture of various periods. It is one of the world's outstanding urban landscapes and illustrates the great periods in the history of the Hungarian capital.",19.07067,47.48242
Kilimanjaro National Park,http://whc.unesco.org/en/list/403,United Republic of Tanzania,Kilimanjaro region,S3 4 0.012 E37 22 0.012,"At 5,895 m, Kilimanjaro is the highest point in Africa. This volcanic massif stands in splendid isolation above the surrounding plains, with its snowy peak looming over the savannah. The mountain is encircled by mountain forest. Numerous mammals, many of them endangered species, live in the park.",37.36667,-2.93333
"Acropolis, Athens",http://whc.unesco.org/en/list/404,Greece,Prefecture and Region of Attica,N37 58 15.132 E23 43 34.248,"The Acropolis of Athens and its monuments are universal symbols of the classical spirit and civilization and form the greatest architectural and artistic complex bequeathed by Greek Antiquity to the world. In the second half of the fifth century bc, Athens, following the victory against the Persians and the establishment of democracy, took a leading position amongst the other city-states of the ancient world. In the age that followed, as thought and art flourished, an exceptional group of artists put into effect the ambitious plans of Athenian statesman Pericles and, under the inspired guidance of the sculptor Pheidias, transformed the rocky hill into a unique monument of thought and the arts. The most important monuments were built during that time: the Parthenon, built by Ictinus, the Erechtheon, the Propylaea, the monumental entrance to the Acropolis, designed by Mnesicles and the small temple Athena Nike. ",23.72618,37.97087
Manú National Park,http://whc.unesco.org/en/list/402,Peru,"Dep. Madre de Dios y Cusco,  Provincias: Manu y Paucartambo",S12 15 0 W71 45 0,"This huge 1.5 million-ha park has successive tiers of vegetation rising from 150 to 4,200 m above sea-level. The tropical forest in the lower tiers is home to an unrivalled variety of animal and plant species. Some 850 species of birds have been identified and rare species such as the giant otter and the giant armadillo also find refuge there. Jaguars are often sighted in the park.",-70.25,-11.75
Old Village of Hollókő and its Surroundings,http://whc.unesco.org/en/list/401,Hungary,County of Nógrád,N47 59 39.984 E19 31 45.012,"Hollokö is an outstanding example of a deliberately preserved traditional settlement. This village, which developed mainly during the 17th and 18th centuries, is a living example of rural life before the agricultural revolution of the 20th century.",19.52917,47.99444
Sinharaja Forest Reserve,http://whc.unesco.org/en/list/405,Sri Lanka,Sabaragamuwa and Southern Provinces,N6 25 0 E80 30 0,"Located in south-west Sri Lanka, Sinharaja is the country's last viable area of primary tropical rainforest. More than 60% of the trees are endemic and many of them are considered rare. There is much endemic wildlife, especially birds, but the reserve is also home to over 50% of Sri Lanka's endemic species of mammals and butterflies, as well as many kinds of insects, reptiles and rare amphibians.",80.5,6.416666666666667
Dja Faunal Reserve,http://whc.unesco.org/en/list/407,Cameroon,"Provinces du Sud et de l’Est (Départments: du Dja-et-LOBO pour la partie Ouest, du Haut-Nyong pour la partie Est)",N3 0 0 E13 0 0,"This is one of the largest and best-protected rainforests in Africa, with 90% of its area left undisturbed. Almost completely surrounded by the Dja River, which forms a natural boundary, the reserve is especially noted for its biodiversity and a wide variety of primates. It contains 107 mammal species, five of which are threatened.",13.0,3.0
Hawaii Volcanoes National Park,http://whc.unesco.org/en/list/409,United States of America,Hawaii,N19 24 3 W155 7 25,"This site contains two of the most active volcanoes in the world, Mauna Loa (4,170 m high) and Kilauea (1,250 m high), both of which tower over the Pacific Ocean. Volcanic eruptions have created a constantly changing landscape, and the lava flows reveal surprising geological formations. Rare birds and endemic species can be found there, as well as forests of giant ferns.",-154.8763888888889,19.400833333333335
Historic Centre of Mexico City and Xochimilco,http://whc.unesco.org/en/list/412,Mexico,"District Federal.  Delegations: Cuauhtemoc, Venustiano Carranza et Xochimilco",N19 25 5.988 W99 7 58.008,"Built in the 16th century by the Spanish on the ruins of Tenochtitlan, the old Aztec capital, Mexico City is now one of the world's largest and most densely populated cities. It has five Aztec temples, the ruins of which have been identified, a cathedral (the largest on the continent) and some fine 19th- and 20th-century public buildings such as the Palacio de las Bellas Artes. Xochimilco lies 28 km south of Mexico City. With its network of canals and artificial islands, it testifies to the efforts of the Aztec people to build a habitat in the midst of an unfavourable environment. Its characteristic urban and rural structures, built since the 16th century and during the colonial period; have been preserved in an exceptional manner.",-98.86722,19.41833
Pre-Hispanic City of Teotihuacan,http://whc.unesco.org/en/list/414,Mexico,Municipalities of Teotihuacan De Arista and San Martin De Las Piramides,N19 41 30.012 W98 50 30.012,"The holy city of Teotihuacan ('the place where the gods were created') is situated some 50 km north-east of Mexico City. Built between the 1st and 7th centuries A.D., it is characterized by the vast size of its monuments – in particular, the Temple of Quetzalcoatl and the Pyramids of the Sun and the Moon, laid out on geometric and symbolic principles. As one of the most powerful cultural centres in Mesoamerica, Teotihuacan extended its cultural and artistic influence throughout the region, and even beyond.",-97.15833,19.69167
Pre-Hispanic City and National Park of Palenque,http://whc.unesco.org/en/list/411,Mexico,"State of Chiapas, Municipality of Palenque",N17 28 59.988 W92 2 60,"A prime example of a Mayan sanctuary of the classical period, Palenque was at its height between AD 500 and 700, when its influence extended throughout the basin of the Usumacinta River. The elegance and craftsmanship of the buildings, as well as the lightness of the sculpted reliefs with their Mayan mythological themes, attest to the creative genius of this civilization.",-91.95,17.48333
Historic Centre of Puebla,http://whc.unesco.org/en/list/416,Mexico,"Etat de Puebla, municipalites de Puebla, San Pedro Cholula et San Andres Cholula",N19 2 49.992 W98 12 29.988,"Puebla, which was founded ",-97.79167,19.04722
Historic Centre of Oaxaca and Archaeological Site of Monte Albán,http://whc.unesco.org/en/list/415,Mexico,"Etat de Oaxaca de Juarez, municipalites de Oaxaca, Xoxocotlan et Cuilapan",N17 3 42.984 W96 43 18.012,"Inhabited over a period of 1,500 years by a succession of peoples – Olmecs, Zapotecs and Mixtecs – the terraces, dams, canals, pyramids and artificial mounds of Monte Albán were literally carved out of the mountain and are the symbols of a sacred topography. The nearby city of Oaxaca, which is built on a grid pattern, is a good example of Spanish colonial town planning. The solidity and volume of the city's buildings show that they were adapted to the earthquake-prone region in which these architectural gems were constructed.",-95.27833,17.06194
Sian Ka'an,http://whc.unesco.org/en/list/410,Mexico,"Quintana Roo, Cozumel et Felipe Carrillo Puerto",N19 22 59.988 W87 47 30.012,"In the language of the Mayan peoples who once inhabited this region, Sian Ka'an means 'Origin of the Sky'. Located on the east coast of the Yucatán peninsula, this biosphere reserve contains tropical forests, mangroves and marshes, as well as a large marine section intersected by a barrier reef. It provides a habitat for a remarkably rich flora and a fauna comprising more than 300 species of birds, as well as a large number of the region's characteristic terrestrial vertebrates, which cohabit in the diverse environment formed by its complex hydrological system.",-86.20833,19.38333
"Ibiza, Biodiversity and Culture",http://whc.unesco.org/en/list/417,Spain,Balearic Islands,N38 54 40.1 E1 26 6.7,"Ibiza provides an excellent example of the interaction between the marine and coastal ecosystems. The dense prairies of oceanic Posidonia (seagrass), an important endemic species found only in the Mediterranean basin, contain and support a diversity of marine life. Ibiza preserves considerable evidence of its long history. The archaeological sites at Sa Caleta (settlement) and Puig des Molins (necropolis) testify to the important role played by the island in the Mediterranean economy in protohistory, particularly during the Phoenician-Carthaginian period. The fortified Upper Town (Alta Vila) is an outstanding example of Renaissance military architecture; it had a profound influence on the development of fortifications in the Spanish settlements of the New World.",1.4351944444444444,38.911138888888885
City of Potosí,http://whc.unesco.org/en/list/420,Bolivia (Plurinational State of),"Potosi, Province of Potosi",S19 35 0.996 W65 45 11.016,"In the 16th century, this area was regarded as the world’s largest industrial complex. The extraction of silver ore relied on a series of hydraulic mills. The site consists of the industrial monuments of the Cerro Rico, where water is provided by an intricate system of aqueducts and artificial lakes; the colonial town with the Casa de la Moneda; the Church of San Lorenzo; several patrician houses; and the barrios mitayos, the areas where the workers lived.",-64.24694,-18.41639
Gros Morne National Park,http://whc.unesco.org/en/list/419,Canada,Provinces of Newfoundland and Labrador,N49 36 45 W57 31 53,"Situated on the west coast of the island of Newfoundland, the park provides a rare example of the process of continental drift, where deep ocean crust and the rocks of the earth's mantle lie exposed. More recent glacial action has resulted in some spectacular scenery, with coastal lowland, alpine plateau, fjords, glacial valleys, sheer cliffs, waterfalls and many pristine lakes.",-56.46861111111111,49.6125
Blenheim Palace,http://whc.unesco.org/en/list/425,United Kingdom of Great Britain and Northern Ireland,"Oxfordshire, England",N51 50 31 W1 21 41,"Blenheim Palace, near Oxford, stands in a romantic park created by the famous landscape gardener 'Capability' Brown. It was presented by the English nation to John Churchill, first Duke of Marlborough, in recognition of his victory in 1704 over French and Bavarian troops. Built between 1705 and 1722 and characterized by an eclectic style and a return to national roots, it is a perfect example of an 18th-century princely dwelling.",-0.6386111111111111,51.841944444444444
